"SNP" "perm_var" "beta" "maf" "true_var" "perm_bias"
"215" "SNP1" 0.00971235319922484 0.0358617809260167 0.05 0.00962368421052632 8.86689886985242e-05
"216" "SNP1" 0.00925797960909122 -0.0492739872510179 0.05 0.00962368421052632 -0.000365704601435096
"217" "SNP1" 0.00960016149811713 -0.0206379030873966 0.05 0.00962368421052632 -2.35227124091852e-05
"218" "SNP1" 0.0102366662020576 -0.0349433359852795 0.05 0.00962368421052632 0.000612981991531284
"219" "SNP1" 0.00818354757165167 0.0791473835086551 0.05 0.00962368421052632 -0.00144013663887465
"220" "SNP1" 0.00851770885300793 0.171013605586812 0.05 0.00962368421052632 -0.00110597535751839
"221" "SNP1" 0.00998581334446081 0.0249032716139283 0.05 0.00962368421052632 0.000362129133934495
"222" "SNP1" 0.00926688484096092 0.117604493424617 0.05 0.00962368421052632 -0.000356799369565395
"223" "SNP1" 0.00904529762583969 0.0421016344264141 0.05 0.00962368421052632 -0.000578386584686626
"224" "SNP1" 0.00936724056229187 -0.173641578466473 0.05 0.00962368421052632 -0.000256443648234446
"225" "SNP1" 0.00965211390195913 -0.0236387489542908 0.05 0.00962368421052632 2.84296914328137e-05
"226" "SNP1" 0.0116107965435052 0.13452953784217 0.05 0.00962368421052632 0.00198711233297888
"227" "SNP1" 0.00879046236984789 0.119229583955189 0.05 0.00962368421052632 -0.000833221840678425
"228" "SNP1" 0.0101709440852343 0.0366581362783333 0.05 0.00962368421052632 0.000547259874707984
"229" "SNP1" 0.00953117895620421 0.103671727360154 0.05 0.00962368421052632 -9.25052543221047e-05
"230" "SNP1" 0.0103196118311675 -0.004854884439007 0.05 0.00962368421052632 0.000695927620641185
"231" "SNP1" 0.00965591932604617 0.127366031752168 0.05 0.00962368421052632 3.22351155198543e-05
"232" "SNP1" 0.0090554307876766 -0.00638931683073025 0.05 0.00962368421052632 -0.000568253422849715
"233" "SNP1" 0.00921173081649027 0.0755421763918708 0.05 0.00962368421052632 -0.000411953394036045
"234" "SNP1" 0.00809705185397075 -0.0500528875945172 0.05 0.00962368421052632 -0.00152663235655557
"235" "SNP1" 0.0096596837758294 0.0494250103192833 0.05 0.00962368421052632 3.5999565303084e-05
"236" "SNP1" 0.0105153881327276 0.0213018768612536 0.05 0.00962368421052632 0.000891703922201285
"237" "SNP1" 0.00798258169006542 0.104614675708947 0.05 0.00962368421052632 -0.0016411025204609
"238" "SNP1" 0.00943139095333451 -0.00871545640250886 0.05 0.00962368421052632 -0.000192293257191806
"239" "SNP1" 0.00853286393417028 -0.0439637936576699 0.05 0.00962368421052632 -0.00109082027635604
"240" "SNP1" 0.0105541530263694 -0.0126979133382269 0.05 0.00962368421052632 0.000930468815843084
"241" "SNP1" 0.0100445891116231 -0.014145767332514 0.05 0.00962368421052632 0.000420904901096784
"242" "SNP1" 0.00934021062498694 -0.00521665922681384 0.05 0.00962368421052632 -0.000283473585539375
"243" "SNP1" 0.00793352624669093 -0.14252430237445 0.05 0.00962368421052632 -0.00169015796383539
"244" "SNP1" 0.00948624750322936 -0.0371907027945489 0.05 0.00962368421052632 -0.000137436707296955
"245" "SNP1" 0.0106823075820785 0.0592767481028666 0.05 0.00962368421052632 0.00105862337155218
"246" "SNP1" 0.00979590257312925 -0.118732165111251 0.05 0.00962368421052632 0.000172218362602934
